character,degree,weighted_degree,betweenness,mentions
Jones,1,1,0.0,1
Kauffmann,1,1,0.0,1
Kostya Levin,1,1,0.0,1
Vronsky’s Atlas,1,1,0.0,1
Instinct,1,1,0.0,1
Marie-Louise,1,1,0.0,1
Kislovka,1,1,0.0,1
Brindle,1,1,0.0,1
Learning French,1,1,0.0,1
this M. Levin,1,1,0.0,1
Alexander Shtcherbatsky,1,1,0.0,1
Fürst Shtcherbatsky,1,1,0.0,1
Anna Pavlovna’s,1,1,0.0,3
Prince Kuzovlev,1,1,0.0,1
Mother,1,1,0.0,1
Bonne,1,1,0.0,1
Alexey Vronsky’s,1,1,0.0,1
Sludin,1,1,0.0,5
satin,1,1,0.0,2
Mihail Alexeyevitch,1,1,0.0,1
Andreevna,1,1,0.0,1
Volkov,1,1,0.0,1
Marya Philimonovna,1,1,0.0,1
Gemahlin,1,1,0.0,1
Mamma,0,0,0.0,1
Lvova,0,0,0.0,1
Yevgeney Ivanovitch Apuhtin,0,0,0.0,1
Count Bezzubov,0,0,0.0,1
je fais,0,0,0.0,1
Pyotr Petrovitch Bol,0,0,0.0,1
Mihail Stepanovitch Snetkov,0,0,0.0,1
Mary,0,0,0.0,1
Nikolay Ivanovitch,0,0,0.0,1
Daudet,0,0,0.0,1
Stepan Vassilievitch,0,0,0.0,1
Malvinsky,0,0,0.0,1
Vorknev,0,0,0.0,1
Jove,0,0,0.0,1
Kashinsky,0,0,0.0,1
Drabanti,0,0,0.0,1
Katerina Andreevna,0,0,0.0,1
Gambetta,0,0,0.0,1
Sokolov,0,0,0.0,1
Yegorov,0,0,0.0,1
Prince Pyotr Oblonsky,0,0,0.0,1
meek,0,0,0.0,1
Mordvinsky,0,0,0.0,1
Jivio,0,0,0.0,2
Constance Garnett,0,0,0.0,1
un petit peu toqué,0,0,0.0,1
Soden,0,0,0.0,2
merry,0,0,0.0,1
Claire,0,0,0.0,1
Kitty Shtcherbatskaya’s,0,0,0.0,1
calmer,0,0,0.0,2
Kolpik,0,0,0.0,2
Tchefirovka,0,0,0.0,1
Mihail Ignatitch,0,0,0.0,1
Numerova,0,0,0.0,1
Sestrin,0,0,0.0,1
jamais rien outrer,0,0,0.0,1
Anita,0,0,0.0,1
Konstantin Dmitrich,0,0,0.0,1
Mashkin Upland,0,0,0.0,1
